,Show Number,Date,Location,Corps,Performance Slot,General Effect 1,General Effect 2,General Effect Total,Visual Proficiency,Visual Analysis,Visual Color Guard,Visual Total,Music Brass,Music Analysis,Music Percussion,Music Total,Sub Total,Penalty,Total Score,Competition Latitude,Competition Longitude,General Effect 1 1,General Effect 1 2,General Effect 2 1,General Effect 2 2,Music Analysis 1,Music Analysis 2,Days from Season Start,Geodesic Distance
94,3.0,1 days 00:00:00,"Seattle, Washington",Troopers,-1.0,0.40000000000000036,0.5,0.8999999999999986,0.5,-0.40000000000000036,0.7000000000000011,0.3999999999999986,-0.3000000000000007,0.5999999999999996,0.0,0.14999999999999858,1.4500000000000028,0.0,1.4500000000000028,2.0835849999999994,0.3441320000000019,,,,,,,1.0,144.8500281431653
95,3.0,1 days 00:00:00,"Seattle, Washington",Blue Knights,1.0,0.3999999999999986,1.0999999999999996,1.5,0.5,0.10000000000000142,0.5999999999999996,0.5999999999999979,0.3000000000000007,0.40000000000000036,0.3999999999999986,0.5500000000000007,2.6500000000000057,0.0,2.6500000000000057,2.0835849999999994,0.3441320000000019,,,,,,,1.0,144.8500281431653
96,3.0,1 days 00:00:00,"Seattle, Washington",Seattle Cascades,0.0,0.10000000000000142,0.1999999999999993,0.3000000000000007,-0.7000000000000011,-1.0,0.29999999999999893,-0.6999999999999993,-0.1999999999999993,0.09999999999999964,0.9000000000000004,0.40000000000000213,0.0,0.0,0.0,2.0835849999999994,0.3441320000000019,,,,,,,1.0,144.8500281431653
97,,,"Seattle, Washington",Columbians,,,,,,,,,,,,,,,,,,,,,,,,,
98,7.0,4 days 00:00:00,"Whitewater, Wisconsin",Bluecoats,0.0,0.09999999999999787,0.7000000000000011,0.7999999999999972,0.7000000000000011,0.8999999999999986,0.8000000000000007,1.1999999999999993,0.5999999999999996,0.7999999999999989,0.9000000000000004,1.1499999999999986,3.1500000000000057,0.0,3.1500000000000057,3.4735835999999978,-4.4193288999999965,,,,,,,4.0,332.5873225443255
99,3.0,1 days 00:00:00,"Whitewater, Wisconsin",Phantom Regiment,-2.0,0.20000000000000107,0.5,0.6999999999999993,0.20000000000000107,0.3000000000000007,0.40000000000000036,0.4499999999999993,0.09999999999999964,0.6999999999999993,0.1999999999999993,0.5,1.6500000000000057,0.0,1.6500000000000057,0.5622477000000003,0.36469809999999825,,,,,,,1.0,43.040812397926516
100,3.0,1 days 00:00:00,"Whitewater, Wisconsin",The Cavaliers,-2.0,0.40000000000000036,0.1999999999999993,0.6000000000000014,0.5,0.3000000000000007,0.09999999999999964,0.4499999999999993,-0.09999999999999964,0.09999999999999964,0.3999999999999986,0.20000000000000284,1.25,0.0,1.25,0.5622477000000003,0.36469809999999825,,,,,,,1.0,43.040812397926516
101,6.0,3 days 00:00:00,"Whitewater, Wisconsin",Colts,0.0,0.7000000000000011,0.40000000000000036,1.0999999999999979,0.10000000000000142,0.5,0.40000000000000036,0.5,0.40000000000000036,0.8999999999999986,0.8999999999999986,1.1000000000000014,2.6999999999999886,0.0,2.6999999999999886,-0.4630123000000026,-0.7417330999999905,,,,,,,3.0,49.30438020588014
102,3.0,1 days 00:00:00,"Whitewater, Wisconsin",Madison Scouts,4.0,0.09999999999999964,0.29999999999999893,0.3999999999999986,-0.10000000000000142,0.3999999999999986,0.1999999999999993,0.25,-0.3000000000000007,0.3000000000000007,1.0,0.5,1.1500000000000057,0.0,1.1500000000000057,0.5622477000000003,0.36469809999999825,,,,,,,1.0,43.040812397926516
103,3.0,1 days 00:00:00,"Whitewater, Wisconsin",Colt Cadets,-1.0,0.20000000000000107,0.1999999999999993,0.3999999999999986,0.3999999999999986,0.40000000000000036,0.1999999999999993,0.5,-0.5,0.3000000000000007,2.0999999999999996,0.9499999999999993,1.8500000000000014,0.0,1.8500000000000014,0.5622477000000003,0.36469809999999825,,,,,,,1.0,43.040812397926516
104,,,"Whitewater, Wisconsin",Rogues Hollow Regiment,,,,,,,,,,,,,,,,,,,,,,,,,
105,1.0,1 days 00:00:00,"LaCrosse, Wisconsin",Bluecoats,0.0,0.20000000000000284,0.6999999999999993,0.8999999999999986,0.29999999999999716,0.10000000000000142,0.0,0.1999999999999993,0.5999999999999996,0.10000000000000142,0.10000000000000142,0.40000000000000213,1.5,0.0,1.5,1.0706598499999984,-2.3748384041795845,,,,,,,1.0,140.59027067658357
106,1.0,1 days 00:00:00,"LaCrosse, Wisconsin",Phantom Regiment,0.0,-0.09999999999999964,1.0999999999999979,1.0000000000000036,0.1999999999999993,0.20000000000000107,0.3000000000000007,0.3500000000000014,0.1999999999999993,0.10000000000000142,0.0,0.15000000000000213,1.5,0.0,1.5,1.0706598499999984,-2.3748384041795845,,,,,,,1.0,140.59027067658357
107,1.0,1 days 00:00:00,"LaCrosse, Wisconsin",Colts,0.0,-0.3000000000000007,0.9000000000000004,0.6000000000000014,0.0,0.29999999999999893,-0.10000000000000142,0.10000000000000142,0.09999999999999964,0.20000000000000107,-0.09999999999999964,0.10000000000000142,0.8000000000000114,0.0,0.8000000000000114,1.0706598499999984,-2.3748384041795845,,,,,,,1.0,140.59027067658357
108,4.0,2 days 00:00:00,"LaCrosse, Wisconsin",Blue Stars,3.0,0.1999999999999993,0.5,0.6999999999999993,0.29999999999999893,0.40000000000000036,0.3000000000000007,0.5,0.40000000000000036,0.0,0.10000000000000142,0.25,1.4500000000000028,0.0,1.4500000000000028,1.6329075499999988,-2.0101403041795862,,,,,,,2.0,151.8107311550709
109,1.0,1 days 00:00:00,"LaCrosse, Wisconsin",Madison Scouts,-4.0,0.3000000000000007,0.0,0.3000000000000007,0.3000000000000007,0.10000000000000142,0.3000000000000007,0.34999999999999787,0.10000000000000142,0.1999999999999993,-0.3000000000000007,0.0,0.6500000000000057,0.0,0.6500000000000057,1.0706598499999984,-2.3748384041795845,,,,,,,1.0,140.59027067658357
110,4.0,2 days 00:00:00,"LaCrosse, Wisconsin",River City Rhythm,0.0,-0.09999999999999964,-0.3000000000000007,-0.3999999999999986,0.5,-0.3000000000000007,1.0,0.6000000000000014,0.3000000000000007,-0.29999999999999893,0.6000000000000014,0.3000000000000007,0.5,0.0,0.5,1.6329075499999988,-2.0101403041795862,,,,,,,2.0,151.8107311550709
111,4.0,1 days 00:00:00,"Sacramento, California",Blue Devils,-1.0,-0.10000000000000142,0.1999999999999993,0.10000000000000142,0.1999999999999993,0.6000000000000014,0.3000000000000007,0.5500000000000007,0.3000000000000007,-0.3000000000000007,0.1999999999999993,0.09999999999999787,0.75,0.0,0.75,1.1545198999999968,0.676410455340644,,,,,,,1.0,87.76692919865866
112,4.0,1 days 00:00:00,"Sacramento, California",Mandarins,1.0,0.5000000000000018,0.8000000000000007,1.3000000000000007,0.40000000000000036,0.6000000000000014,-0.09999999999999964,0.45000000000000284,0.3000000000000007,-0.3000000000000007,0.09999999999999964,0.05000000000000071,1.8000000000000114,0.0,1.8000000000000114,1.1545198999999968,0.676410455340644,,,,,,,1.0,87.76692919865866
113,4.0,1 days 00:00:00,"Sacramento, California",Santa Clara Vanguard,0.0,0.3000000000000007,0.7000000000000011,1.0,0.9000000000000004,0.3000000000000007,-0.09999999999999964,0.5500000000000007,0.29999999999999893,-0.6999999999999993,0.10000000000000142,-0.14999999999999858,1.4000000000000057,0.0,1.4000000000000057,1.1545198999999968,0.676410455340644,,,,,,,1.0,87.76692919865866
114,4.0,1 days 00:00:00,"Sacramento, California",Pacific Crest,-1.0,-0.5999999999999996,1.1000000000000014,0.5,-0.7999999999999989,1.0,-0.20000000000000107,0.0,0.1999999999999993,-0.5999999999999996,0.09999999999999964,-0.15000000000000213,0.3499999999999943,0.0,0.3499999999999943,1.1545198999999968,0.676410455340644,,,,,,,1.0,87.76692919865866
115,4.0,1 days 00:00:00,"Sacramento, California",The Academy,1.0,-0.6999999999999993,1.4000000000000004,0.6999999999999993,0.09999999999999964,1.5,0.0,0.8000000000000007,0.1999999999999993,-0.9000000000000004,-0.09999999999999964,-0.3999999999999986,1.0999999999999943,0.0,1.0999999999999943,1.1545198999999968,0.676410455340644,,,,,,,1.0,87.76692919865866
116,4.0,1 days 00:00:00,"Sacramento, California",Blue Devils B,0.0,1.0999999999999996,0.7999999999999989,1.9000000000000021,0.5999999999999996,-0.20000000000000107,0.40000000000000036,0.40000000000000213,-1.1999999999999993,0.6999999999999993,0.09999999999999964,-0.1999999999999993,2.0999999999999943,0.0,2.0999999999999943,1.1545198999999968,0.676410455340644,,,,,,,1.0,87.76692919865866
117,4.0,1 days 00:00:00,"Sacramento, California",Gold,0.0,1.6000000000000014,0.40000000000000036,2.0,0.29999999999999893,-0.5,0.0,-0.09999999999999787,-0.8999999999999986,0.5,0.1999999999999993,-0.10000000000000142,1.7999999999999972,0.0,1.7999999999999972,1.1545198999999968,0.676410455340644,,,,,,,1.0,87.76692919865866
118,4.0,1 days 00:00:00,"Sacramento, California",Impulse,0.0,1.5999999999999996,-0.40000000000000036,1.2000000000000028,-0.3000000000000007,-0.5,0.0,-0.40000000000000213,-0.7999999999999989,0.7000000000000011,-0.09999999999999964,-0.09999999999999787,0.7000000000000028,0.0,0.7000000000000028,1.1545198999999968,0.676410455340644,,,,,,,1.0,87.76692919865866
119,4.0,1 days 00:00:00,"Sacramento, California",Golden Empire,0.0,0.8000000000000007,-0.40000000000000036,0.3999999999999986,0.0,0.40000000000000036,0.40000000000000036,0.3999999999999986,-0.3999999999999986,1.0,0.0,0.3000000000000007,1.1000000000000014,0.0,1.1000000000000014,1.1545198999999968,0.676410455340644,,,,,,,1.0,87.76692919865866
120,4.0,1 days 00:00:00,"Sacramento, California",Blue Devils C,-4.0,-0.1999999999999993,-0.29999999999999893,-0.5,-0.6999999999999993,0.20000000000000107,0.5999999999999996,0.05000000000000071,0.0,0.3999999999999986,0.3999999999999986,0.40000000000000036,-0.04999999999999716,0.0,-0.04999999999999716,1.1545198999999968,0.676410455340644,,,,,,,1.0,87.76692919865866
121,4.0,2 days 00:00:00,"Kennewick, Washington",Troopers,2.0,0.40000000000000036,0.1999999999999993,0.6000000000000014,0.40000000000000036,1.3000000000000007,0.6999999999999993,1.2000000000000028,0.9000000000000004,0.20000000000000107,1.0,1.0500000000000007,2.8499999999999943,0.0,2.8499999999999943,-1.395125499999999,3.210143000000002,,,,,,,2.0,179.93064788274532
122,4.0,2 days 00:00:00,"Kennewick, Washington",Blue Knights,0.0,0.7000000000000011,-0.1999999999999993,0.5,0.1999999999999993,0.6999999999999993,0.5,0.6999999999999993,0.5999999999999996,0.6999999999999993,0.6000000000000014,0.9499999999999993,2.1500000000000057,0.0,2.1500000000000057,-1.395125499999999,3.210143000000002,,,,,,,2.0,179.93064788274532
123,4.0,2 days 00:00:00,"Kennewick, Washington",Seattle Cascades,-2.0,0.5,0.20000000000000107,0.6999999999999993,0.7000000000000011,1.0,-0.09999999999999964,0.7999999999999972,0.3999999999999986,-0.20000000000000107,-0.20000000000000107,0.0,1.5,0.0,1.5,-1.395125499999999,3.210143000000002,,,,,,,2.0,179.93064788274532
124,4.0,2 days 00:00:00,"Kennewick, Washington",Columbians,0.0,-0.1999999999999993,-0.6999999999999993,-0.9000000000000021,0.3999999999999986,1.200000000000001,-0.3000000000000007,0.6500000000000021,0.40000000000000036,-0.6999999999999993,0.09999999999999964,-0.10000000000000142,-0.3500000000000085,0.0,-0.3500000000000085,-1.395125499999999,3.210143000000002,,,,,,,2.0,179.93064788274532
125,11.0,6 days 00:00:00,"Sevierville, Tennessee",Carolina Crown,1.0,0.8000000000000007,1.1999999999999993,1.9999999999999964,1.0999999999999996,1.4000000000000004,1.0,1.75,0.3999999999999986,2.1999999999999993,0.8999999999999986,1.75,5.5,0.0,5.5,-3.491913100000005,0.7481039999999979,,,,,,,6.0,244.29093275827773
126,,,"Sevierville, Tennessee",Crossmen,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,"Sevierville, Tennessee",Spirit of Atlanta,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,"Sevierville, Tennessee",Music City,,,,,,,,,,,,,,,,,,,,,,,,,
129,15.0,9 days 00:00:00,"Sevierville, Tennessee",Spartans,-1.0,1.0999999999999996,1.0999999999999996,2.1999999999999993,3.5,-0.1999999999999993,0.5999999999999996,1.9499999999999993,2.0,1.0,1.3999999999999986,2.1999999999999993,6.350000000000001,0.0,6.350000000000001,-5.452245750000003,-10.478180089316197,,,,,,,9.0,679.7900150124752
130,3.0,2 days 00:00:00,"Boise, Idaho",Mandarins,-2.0,0.1999999999999993,0.10000000000000142,0.29999999999999716,0.5,0.5,1.0,1.0,0.5999999999999996,0.40000000000000036,-0.40000000000000036,0.3000000000000007,1.5999999999999943,0.0,1.5999999999999943,5.035555699999996,5.293008999999998,,,,,,,2.0,443.7397389712558
131,2.0,1 days 00:00:00,"Boise, Idaho",Troopers,-1.0,0.0,0.09999999999999964,0.09999999999999787,-0.20000000000000107,-0.20000000000000107,-0.09999999999999964,-0.25,0.3000000000000007,0.09999999999999964,-1.1999999999999993,-0.40000000000000213,-0.5499999999999972,0.0,-0.5499999999999972,-2.5920903000000024,2.919032999999999,,,,,,,1.0,229.2086543011827
132,2.0,1 days 00:00:00,"Boise, Idaho",Blue Knights,-1.0,0.0,0.09999999999999964,0.10000000000000142,-0.5999999999999996,0.3000000000000007,-1.0,-0.6499999999999986,0.40000000000000036,0.10000000000000142,-1.200000000000001,-0.3500000000000014,-0.9000000000000057,0.0,-0.9000000000000057,-2.5920903000000024,2.919032999999999,,,,,,,1.0,229.2086543011827
133,2.0,1 days 00:00:00,"Boise, Idaho",Seattle Cascades,3.0,0.29999999999999893,0.0,0.3000000000000007,-1.1000000000000014,1.0,2.5,1.2000000000000028,0.40000000000000036,0.20000000000000107,-0.29999999999999893,0.14999999999999858,1.6499999999999986,0.0,1.6499999999999986,-2.5920903000000024,2.919032999999999,,,,,,,1.0,229.2086543011827
134,5.0,2 days 00:00:00,"Mankato, Minnesota",Phantom Regiment,1.0,0.5,-0.5,0.0,0.10000000000000142,0.5,0.3999999999999986,0.5,0.20000000000000107,0.1999999999999993,0.10000000000000142,0.25,0.75,0.0,0.75,0.25916425000000487,-2.8952441958204247,,,,,,,2.0,145.30852685982381
135,5.0,2 days 00:00:00,"Mankato, Minnesota",Colts,-1.0,0.6999999999999993,-0.9000000000000004,-0.1999999999999993,0.1999999999999993,0.40000000000000036,0.40000000000000036,0.5,0.0,0.09999999999999964,-0.09999999999999964,0.0,0.29999999999999716,0.0,0.29999999999999716,0.25916425000000487,-2.8952441958204247,,,,,,,2.0,145.30852685982381
136,5.0,2 days 00:00:00,"Mankato, Minnesota",Madison Scouts,0.0,0.5,0.10000000000000142,0.6000000000000014,0.3000000000000007,0.6999999999999993,0.3000000000000007,0.6500000000000021,0.29999999999999893,0.40000000000000036,0.40000000000000036,0.5500000000000007,1.7999999999999972,0.0,1.7999999999999972,0.25916425000000487,-2.8952441958204247,,,,,,,2.0,145.30852685982381
137,5.0,2 days 00:00:00,"Mankato, Minnesota",River City Rhythm,1.0,1.5999999999999996,1.0,2.599999999999998,0.0,0.3000000000000007,1.1999999999999993,0.75,0.5,1.5,0.3999999999999986,1.1999999999999993,4.550000000000004,0.0,4.550000000000004,0.25916425000000487,-2.8952441958204247,,,,,,,2.0,145.30852685982381
138,6.0,3 days 00:00:00,"Mankato, Minnesota",Colt Cadets,0.0,-0.20000000000000107,0.40000000000000036,0.20000000000000284,0.40000000000000036,-0.10000000000000142,0.8000000000000007,0.5500000000000007,1.1000000000000014,0.09999999999999964,-2.8000000000000007,-0.8000000000000007,-0.04999999999999716,0.0,-0.04999999999999716,1.3298241000000033,-5.270082600000009,,,,,,,3.0,280.2487995724255
139,18.0,10 days 00:00:00,"Mankato, Minnesota",Govenaires,0.0,0.09999999999999964,1.4000000000000004,1.5,0.3999999999999986,0.5,0.6000000000000014,0.75,0.5,0.5999999999999996,0.5,0.8000000000000007,3.049999999999997,0.0,3.049999999999997,1.0887053000000009,-4.615589200000002,,,,,,,10.0,243.35248988394554
140,14.0,7 days 00:00:00,"Newnan, Georgia",Boston Crusaders,1.0,0.8999999999999986,1.3000000000000007,2.1999999999999993,1.0999999999999979,1.5,1.3000000000000007,1.9500000000000028,1.0999999999999996,2.200000000000001,1.3000000000000007,2.25,6.450000000000003,0.0,6.450000000000003,-5.979387000000003,-0.48971830000000693,,,,,,,7.0,413.18708077316455
141,3.0,1 days 00:00:00,"Newnan, Georgia",Crossmen,-1.0,0.5,0.1999999999999993,0.6999999999999993,0.3000000000000007,0.1999999999999993,0.1999999999999993,0.3500000000000014,0.0,0.0,0.6000000000000014,0.3000000000000007,1.3499999999999943,0.0,1.3499999999999943,-2.4874738999999977,-1.2378223000000048,,,,,,,1.0,185.39946521193528
142,3.0,1 days 00:00:00,"Newnan, Georgia",Spirit of Atlanta,2.0,0.1999999999999993,0.0,0.1999999999999993,0.09999999999999964,0.09999999999999964,0.10000000000000142,0.15000000000000213,0.5,-0.20000000000000107,1.0,0.6500000000000021,1.0,0.0,1.0,-2.4874738999999977,-1.2378223000000048,,,,,,,1.0,185.39946521193528
143,3.0,1 days 00:00:00,"Newnan, Georgia",Music City,0.0,0.1999999999999993,0.09999999999999964,0.29999999999999716,-0.10000000000000142,-0.09999999999999964,0.20000000000000107,0.0,0.5,0.09999999999999964,1.4000000000000004,1.0,1.2999999999999972,0.0,1.2999999999999972,-2.4874738999999977,-1.2378223000000048,,,,,,,1.0,185.39946521193528
144,3.0,1 days 00:00:00,"Newnan, Georgia",Spartans,0.0,0.20000000000000107,0.3000000000000007,0.5,0.09999999999999964,0.09999999999999964,0.7999999999999989,0.5,0.5999999999999996,0.3999999999999986,0.8000000000000007,0.9000000000000021,1.9000000000000057,0.0,1.9000000000000057,-2.4874738999999977,-1.2378223000000048,,,,,,,1.0,185.39946521193528
145,,,"Newnan, Georgia",Atlanta CV,,,,,,,,,,,,,,,,,,,,,,,,,
146,6.0,3 days 00:00:00,"Ogden, Utah",Blue Devils,3.0,0.10000000000000142,0.7000000000000028,0.8000000000000043,0.3000000000000007,-0.5,0.5,0.14999999999999858,0.6000000000000014,0.6000000000000014,0.8000000000000007,1.0,1.9500000000000028,0.0,1.9500000000000028,2.6419441999999975,9.520052100000001,,,,,,,3.0,537.3476747641452
147,3.0,1 days 00:00:00,"Ogden, Utah",Mandarins,3.0,-0.5,0.09999999999999787,-0.3999999999999986,0.09999999999999964,-0.6000000000000014,-0.1999999999999993,-0.3500000000000014,-0.3000000000000007,0.40000000000000036,1.200000000000001,0.6499999999999986,-0.09999999999999432,0.0,-0.09999999999999432,-2.3936114999999987,4.227043100000003,,,,,,,1.0,272.0190944124707
148,6.0,3 days 00:00:00,"Ogden, Utah",Santa Clara Vanguard,0.0,0.5,0.1999999999999993,0.6999999999999993,0.20000000000000107,0.1999999999999993,1.0,0.6999999999999993,0.20000000000000107,0.8000000000000007,0.5,0.75,2.1500000000000057,0.0,2.1500000000000057,2.6419441999999975,9.520052100000001,,,,,,,3.0,537.3476747641452
149,3.0,1 days 00:00:00,"Ogden, Utah",Troopers,3.0,0.3000000000000007,0.0,0.3000000000000007,0.5,-0.29999999999999893,-0.3000000000000007,-0.05000000000000071,0.0,0.5999999999999996,1.8000000000000007,1.2000000000000028,1.4500000000000028,0.0,1.4500000000000028,-2.3936114999999987,4.227043100000003,,,,,,,1.0,272.0190944124707
150,3.0,1 days 00:00:00,"Ogden, Utah",Blue Knights,7.0,0.0,0.09999999999999964,0.09999999999999787,0.40000000000000036,-0.3000000000000007,0.09999999999999964,0.10000000000000142,-0.40000000000000036,0.5,1.9000000000000004,1.0,1.2000000000000028,0.0,1.2000000000000028,-2.3936114999999987,4.227043100000003,,,,,,,1.0,272.0190944124707
151,6.0,3 days 00:00:00,"Ogden, Utah",Pacific Crest,2.0,-0.09999999999999964,0.0,-0.09999999999999787,1.0,-1.200000000000001,1.3000000000000007,0.5500000000000007,-0.5999999999999996,0.5,0.40000000000000036,0.15000000000000213,0.6000000000000085,0.0,0.6000000000000085,2.6419441999999975,9.520052100000001,,,,,,,3.0,537.3476747641452
152,6.0,3 days 00:00:00,"Ogden, Utah",The Academy,0.0,0.5999999999999996,0.1999999999999993,0.8000000000000007,2.0,-1.0,0.20000000000000107,0.5999999999999979,0.09999999999999964,0.6999999999999993,1.0999999999999996,0.9499999999999993,2.3500000000000085,0.0,2.3500000000000085,2.6419441999999975,9.520052100000001,,,,,,,3.0,537.3476747641452
153,3.0,1 days 00:00:00,"Ogden, Utah",Seattle Cascades,-2.0,-0.5,0.0,-0.5,1.5,-0.5,-1.8000000000000007,-0.40000000000000213,-0.1999999999999993,0.29999999999999893,-0.09999999999999964,0.0,-0.8999999999999986,0.0,-0.8999999999999986,-2.3936114999999987,4.227043100000003,,,,,,,1.0,272.0190944124707
154,,,"Ogden, Utah",The Battalion,,,,,,,,,,,,,,,,,,,,,,,,,
155,3.0,2 days 00:00:00,"Dubuque, Iowa",Phantom Regiment,0.0,0.09999999999999787,0.20000000000000284,0.29999999999999716,0.3999999999999986,0.09999999999999787,0.3000000000000007,0.3999999999999986,0.8000000000000007,0.09999999999999787,0.6999999999999993,0.7999999999999972,1.5,0.0,1.5,-1.6628420000000048,3.334552000000002,,,,,,,2.0,203.47882890516303
156,9.0,5 days 00:00:00,"Dubuque, Iowa",The Cavaliers,1.0,0.0,0.6000000000000014,0.5999999999999979,-0.09999999999999964,0.40000000000000036,0.0,0.15000000000000213,0.9000000000000004,-0.09999999999999964,-0.3999999999999986,0.1999999999999993,0.9499999999999886,0.0,0.9499999999999886,-0.33301790000000153,-1.935530600000007,,,,,,,5.0,101.23721419304033
157,3.0,2 days 00:00:00,"Dubuque, Iowa",Colts,2.0,-0.09999999999999964,0.20000000000000107,0.09999999999999787,0.5,0.0,-0.29999999999999893,0.09999999999999787,0.8000000000000007,0.1999999999999993,0.8999999999999986,0.9499999999999993,1.1499999999999915,0.0,1.1499999999999915,-1.6628420000000048,3.334552000000002,,,,,,,2.0,203.47882890516303
158,8.0,4 days 00:00:00,"Dubuque, Iowa",Blue Stars,-4.0,0.40000000000000036,0.3000000000000007,0.7000000000000028,1.0000000000000018,0.29999999999999893,0.1999999999999993,0.75,0.8999999999999986,0.40000000000000036,0.8000000000000007,1.0500000000000007,2.5,0.0,2.5,-1.40367775,0.4393078041795775,,,,,,,4.0,99.40586703167037
159,3.0,2 days 00:00:00,"Dubuque, Iowa",River City Rhythm,-1.0,-1.3000000000000007,1.1000000000000014,-0.1999999999999993,0.0,1.0,0.20000000000000107,0.6000000000000014,-0.5,-1.6000000000000014,0.10000000000000142,-1.0,-0.6000000000000085,0.0,-0.6000000000000085,-1.6628420000000048,3.334552000000002,,,,,,,2.0,203.47882890516303
160,3.0,2 days 00:00:00,"Dubuque, Iowa",Colt Cadets,1.0,-0.1999999999999993,0.0,-0.20000000000000284,-0.09999999999999964,0.10000000000000142,0.1999999999999993,0.09999999999999787,-0.3000000000000007,-0.40000000000000036,0.8000000000000007,0.05000000000000071,-0.05000000000000426,0.0,-0.05000000000000426,-1.6628420000000048,3.334552000000002,,,,,,,2.0,203.47882890516303
161,3.0,2 days 00:00:00,"Muscle Shoals, Alabama",Boston Crusaders,1.0,0.3000000000000007,0.3999999999999986,0.7000000000000028,-0.09999999999999787,0.40000000000000213,0.29999999999999716,0.29999999999999716,0.5,-0.10000000000000142,-0.10000000000000142,0.1999999999999993,1.1499999999999915,0.0,1.1499999999999915,1.363007500000002,-2.8536041999999924,,,,,,,2.0,188.7222907420516
162,3.0,2 days 00:00:00,"Muscle Shoals, Alabama",Crossmen,0.0,0.1999999999999993,0.1999999999999993,0.40000000000000213,-0.09999999999999964,0.40000000000000036,0.3000000000000007,0.29999999999999716,0.0,0.8000000000000007,-0.8000000000000007,0.0,0.7000000000000028,0.0,0.7000000000000028,1.363007500000002,-2.8536041999999924,,,,,,,2.0,188.7222907420516
163,3.0,2 days 00:00:00,"Muscle Shoals, Alabama",Spirit of Atlanta,-1.0,0.20000000000000107,-0.09999999999999964,0.10000000000000142,-0.5,0.09999999999999964,0.29999999999999893,-0.05000000000000071,0.3000000000000007,1.6000000000000014,-0.9000000000000004,0.5,0.5499999999999972,0.0,0.5499999999999972,1.363007500000002,-2.8536041999999924,,,,,,,2.0,188.7222907420516
164,3.0,2 days 00:00:00,"Muscle Shoals, Alabama",Music City,0.0,0.40000000000000036,0.40000000000000036,0.8000000000000007,-0.29999999999999893,0.3000000000000007,0.40000000000000036,0.1999999999999993,0.5,0.8000000000000007,-1.1999999999999993,0.05000000000000071,1.0499999999999972,0.0,1.0499999999999972,1.363007500000002,-2.8536041999999924,,,,,,,2.0,188.7222907420516
165,3.0,2 days 00:00:00,"Muscle Shoals, Alabama",Spartans,0.0,0.29999999999999893,-0.09999999999999964,0.1999999999999993,0.0,0.5,0.6000000000000014,0.5500000000000007,0.3000000000000007,-0.09999999999999964,-1.3000000000000007,-0.5500000000000007,0.19999999999998863,0.0,0.19999999999998863,1.363007500000002,-2.8536041999999924,,,,,,,2.0,188.7222907420516
166,3.0,2 days 00:00:00,"Cheyenne, Wyoming",Troopers,0.0,0.1999999999999993,0.40000000000000036,0.6000000000000014,0.3000000000000007,0.7999999999999989,0.20000000000000107,0.6499999999999986,0.5999999999999979,0.3000000000000007,0.09999999999999787,0.5,1.75,0.0,1.75,-0.08302379999999943,7.153596899999997,,,,,,,2.0,372.89523481846044
167,3.0,2 days 00:00:00,"Cheyenne, Wyoming",Pacific Crest,-1.0,0.5999999999999996,0.09999999999999964,0.6999999999999993,0.29999999999999893,1.4000000000000004,0.6999999999999993,1.1999999999999993,1.4000000000000004,0.3000000000000007,0.09999999999999964,0.8999999999999986,2.799999999999997,0.0,2.799999999999997,-0.08302379999999943,7.153596899999997,,,,,,,2.0,372.89523481846044
168,3.0,2 days 00:00:00,"Cheyenne, Wyoming",The Academy,1.0,0.09999999999999964,-0.09999999999999964,0.0,-0.09999999999999964,1.0999999999999996,0.6999999999999993,0.8500000000000014,-0.8999999999999986,0.9000000000000004,0.0,0.0,0.8499999999999943,0.0,0.8499999999999943,-0.08302379999999943,7.153596899999997,,,,,,,2.0,372.89523481846044
169,,,"Cheyenne, Wyoming",Genesis,,,,,,,,,,,,,,,,,,,,,,,,,
170,3.0,2 days 00:00:00,"Cheyenne, Wyoming",Seattle Cascades,-1.0,0.20000000000000107,-0.20000000000000107,0.0,-1.0,0.09999999999999964,0.9000000000000004,0.0,-0.3000000000000007,0.0,0.8999999999999986,0.3000000000000007,0.30000000000000426,0.0,0.30000000000000426,-0.08302379999999943,7.153596899999997,,,,,,,2.0,372.89523481846044
171,3.0,2 days 00:00:00,"Cheyenne, Wyoming",The Battalion,0.0,0.5999999999999996,0.09999999999999964,0.6999999999999993,-0.40000000000000036,1.0,0.7000000000000011,0.6499999999999986,0.09999999999999964,0.3000000000000007,0.8000000000000007,0.6000000000000014,1.9500000000000028,0.0,1.9500000000000028,-0.08302379999999943,7.153596899999997,,,,,,,2.0,372.89523481846044
172,10.0,5 days 00:00:00,"Riverside, California",Blue Devils B,-1.0,0.3000000000000007,0.20000000000000107,0.5,1.799999999999999,0.40000000000000036,1.8000000000000007,2.0,1.5999999999999996,0.3000000000000007,0.3000000000000007,1.1000000000000014,3.6000000000000085,0.0,3.6000000000000085,-4.859061500000003,5.456647799999999,,,,,,,5.0,452.95974368762836
173,10.0,5 days 00:00:00,"Riverside, California",Gold,1.0,0.1999999999999993,0.09999999999999964,0.29999999999999716,1.9000000000000004,0.5,1.5999999999999996,2.0,0.7999999999999989,0.5,0.5,0.9000000000000021,3.200000000000003,0.0,3.200000000000003,-4.859061500000003,5.456647799999999,,,,,,,5.0,452.95974368762836
