,Show Number,Corps,Date,Location,Performance Slot,General Effect 1,General Effect 2,General Effect Total,Visual Proficiency,Visual Analysis,Color Guard,Visual Total,Music Brass,Music Analysis,Music Percussion,Music Total,Sub Total,Penalty,Total Score,Days from Season Start,Total Score Residual
31,5,Fusion Core,2024-06-29,"Shelton, Connecticut",1,13.0,13.4,26.4,13.4,12.8,13.4,19.8,13.5,13.3,13.4,20.1,66.3,0.0,66.3,3,0.18872696907659758
32,5,Sunrisers,2024-06-29,"Shelton, Connecticut",1,13.3,12.7,26.0,12.8,12.7,12.9,19.2,12.5,13.1,12.4,19.0,64.2,0.0,64.2,3,-1.9112730309233967
33,6,Blue Devils,2024-06-29,"Walnut, California",4,15.4,15.7,31.1,15.4,15.3,15.3,23.0,15.3,15.3,15.4,23.0,77.1,0.0,77.1,3,10.988726969076595
34,6,Santa Clara Vanguard,2024-06-29,"Walnut, California",1,14.1,14.2,28.3,14.6,14.7,14.5,21.9,14.4,14.6,15.3,22.15,72.35,0.0,72.35,3,6.238726969076595
35,6,Mandarins,2024-06-29,"Walnut, California",2,14.3,13.7,28.0,14.3,14.9,14.6,21.9,14.6,13.8,14.3,21.35,71.25,0.0,71.25,3,5.1387269690766
36,6,Pacific Crest,2024-06-29,"Walnut, California",3,11.3,12.4,23.7,13.0,13.0,12.7,19.35,12.8,12.8,13.7,19.65,62.7,0.0,62.7,3,-3.4112730309233967
37,6,Blue Devils B,2024-06-29,"Walnut, California",4,13.0,12.7,25.7,12.5,12.7,12.3,18.75,12.5,13.0,13.0,19.25,63.7,0.0,63.7,3,-2.4112730309233967
38,6,Gold,2024-06-29,"Walnut, California",5,11.0,12.5,23.5,11.8,11.7,11.7,17.6,12.1,12.2,12.4,18.35,59.45,0.0,59.45,3,-6.661273030923397
39,6,Vessel,2024-06-29,"Walnut, California",2,9.4,9.8,19.2,10.0,9.8,10.0,14.9,9.8,10.6,11.4,15.9,50.0,0.0,50.0,3,-16.1112730309234
40,6,Impulse,2024-06-29,"Walnut, California",1,9.2,9.3,18.5,10.3,10.4,10.5,15.6,10.6,9.2,10.3,15.05,49.15,0.0,49.15,3,-16.9612730309234
41,6,Blue Devils C,2024-06-29,"Walnut, California",3,8.9,9.1,18.0,9.4,9.1,9.5,14.0,9.1,9.0,9.5,13.8,45.8,0.0,45.8,3,-20.311273030923402
42,7,Carolina Crown,2024-06-30,"Lisle, Illinois",6,15.9,15.6,31.5,15.6,14.8,15.2,22.8,15.0,15.2,15.4,22.8,77.1,0.0,77.1,4,10.338054088999016
43,7,Boston Crusaders,2024-06-30,"Lisle, Illinois",5,15.6,15.3,30.9,15.4,15.0,15.6,23.0,14.7,15.0,15.7,22.7,76.6,0.0,76.6,4,9.838054088999016
44,7,Phantom Regiment,2024-06-30,"Lisle, Illinois",4,15.0,14.7,29.7,15.0,14.5,14.6,22.05,14.5,14.6,15.0,22.05,73.8,0.0,73.8,4,7.038054088999019
45,7,The Cavaliers,2024-06-30,"Lisle, Illinois",7,14.6,14.4,29.0,14.6,13.6,14.2,21.2,14.3,14.1,14.9,21.65,71.8,0.0,71.85,4,5.088054088999016
46,7,Colts,2024-06-30,"Lisle, Illinois",3,14.0,14.5,28.5,14.1,13.8,14.3,21.1,14.0,13.5,14.7,21.1,70.7,0.0,70.7,4,3.9380540889990243
47,7,Blue Stars,2024-06-30,"Lisle, Illinois",2,14.1,14.2,28.3,14.2,14.0,14.5,21.35,13.7,13.7,14.1,20.75,70.4,0.0,70.4,4,3.638054088999027
48,7,Madison Scouts,2024-06-30,"Lisle, Illinois",1,13.5,13.7,27.2,13.6,13.3,13.2,20.05,13.5,13.2,13.6,20.15,67.4,0.0,67.4,4,0.6380540889990272
49,7,Colt Cadets,2024-06-30,"Lisle, Illinois",1,10.8,12.0,22.8,11.3,11.7,11.4,17.2,11.5,11.2,12.2,17.45,57.45,0.0,57.45,4,-9.311945911000976
50,8,Blue Devils,2024-06-30,"San Bernardino, California",4,15.5,15.1,30.6,15.5,15.7,15.4,23.3,15.8,15.4,15.6,23.4,77.3,0.0,77.3,4,10.538054088999019
51,8,Santa Clara Vanguard,2024-06-30,"San Bernardino, California",1,14.7,14.3,29.0,14.7,14.8,14.8,22.15,14.6,14.7,15.5,22.4,73.55,0.0,73.55,4,6.788054088999019
